"year_month","count_sellers","avg_sales","year_month","count_orders","avg_ticket"
"2017-01",226,531.5,"2017-01",787,152.63
"2017-02",425,576.37,"2017-02",1718,142.58
"2017-03",490,751.89,"2017-03",2617,140.78
"2017-04",503,703.56,"2017-04",2377,148.88
"2017-05",577,872.99,"2017-05",3640,138.38
"2017-06",534,805.09,"2017-06",3205,134.14
"2017-07",602,818.46,"2017-07",3946,124.86
"2017-08",700,812.5,"2017-08",4272,133.13
"2017-09",726,856.1,"2017-09",4227,147.04
"2017-10",773,854.19,"2017-10",4547,145.21
"2017-11",960,1046.11,"2017-11",7423,135.29
"2017-12",859,864.53,"2017-12",5620,132.14
"2018-01",968,978.19,"2018-01",7187,131.75
"2018-02",933,898.51,"2018-02",6625,126.54
"2018-03",993,988.22,"2018-03",7168,136.9
"2018-04",1116,890.48,"2018-04",6919,143.63
"2018-05",1107,897.13,"2018-05",6833,145.34
"2018-06",1168,739.92,"2018-06",6145,140.64
"2018-07",1245,705.64,"2018-07",6233,140.95
"2018-08",1266,670.78,"2018-08",6421,132.25
