"category","month_year","volume_product","sales_product"
esporte_lazer,"05-2018",492,59664.11
perfumaria,"05-2017",145,20119.04
utilidades_domesticas,"01-2018",359,38078.31
moveis_sala,"08-2018",40,5223.34
cama_mesa_banho,"11-2017",976,89430.44
moveis_decoracao,"04-2018",594,56793.01
fashion_bolsas_e_acessorios,"11-2017",200,13414.89
moveis_cozinha_area_de_servico_jantar_e_jardim,"01-2018",21,4838.5
telefonia,"10-2017",254,22926.76
moveis_sala,"08-2017",23,2478.07
consoles_games,"08-2018",62,4824.49
informatica_acessorios,"02-2018",981,100855.23
pet_shop,"06-2018",178,19491.78
beleza_saude,"02-2017",166,22838.79
cool_stuff,"08-2018",123,16354.58
informatica_acessorios,"02-2017",106,11972.59
brinquedos,"07-2018",156,17277.29
relogios_presentes,"09-2017",268,47135.6
pet_shop,"05-2018",136,11708.46
beleza_saude,"08-2017",360,49873.9
papelaria,"06-2018",167,12859.08
cool_stuff,"12-2017",252,39011.54
cool_stuff,"11-2017",302,56295.24
relogios_presentes,"04-2018",505,92658.57
esporte_lazer,"02-2018",651,75863.95
esporte_lazer,"09-2017",461,50167.48
beleza_saude,"12-2017",466,61264.66
automotivo,"06-2017",112,31370.69
informatica_acessorios,"07-2018",427,41902.79
ferramentas_jardim,"05-2017",145,21150.45
perfumaria,"06-2017",154,24438.1
esporte_lazer,"03-2018",761,85292.17
moveis_decoracao,"08-2018",433,41380.15
cool_stuff,"06-2017",201,38244.5
eletrodomesticos_2,"04-2018",23,20741.69
beleza_saude,"06-2018",887,108368.31
esporte_lazer,"04-2018",600,67528.08
utilidades_domesticas,"02-2018",400,35448.56
informatica_acessorios,"03-2018",758,85673.53
moveis_decoracao,"01-2017",183,13541.21
bebes,"09-2017",174,24366.3
cama_mesa_banho,"03-2018",799,69293.29
automotivo,"08-2018",378,45540.79
livros_tecnicos,"07-2018",28,2106.81
utilidades_domesticas,"04-2017",183,15028.84
moveis_escritorio,"01-2018",145,20113.41
eletrodomesticos,"05-2018",64,6149.67
automotivo,"06-2018",300,45407.49
papelaria,"05-2018",130,12923.39
malas_acessorios,"04-2018",57,8680.48
esporte_lazer,"07-2017",387,38813.41
moveis_decoracao,"03-2018",595,52244.04
utilidades_domesticas,"06-2018",584,56825.45
beleza_saude,"09-2017",381,51647.55
relogios_presentes,"11-2017",469,97724.57
cool_stuff,"10-2017",258,44910.01
beleza_saude,"01-2018",628,72470.49
cool_stuff,"03-2018",256,38353.22
cama_mesa_banho,"06-2018",773,71565.48
eletronicos,"05-2018",235,16989.29
fashion_bolsas_e_acessorios,"04-2017",50,3219.8
utilidades_domesticas,"05-2018",619,63003.57
esporte_lazer,"11-2017",612,64874.05
brinquedos,"12-2017",445,57194.14
cool_stuff,"07-2017",230,37506.76
beleza_saude,"10-2017",361,41915.72
moveis_decoracao,"06-2018",405,42190.22
brinquedos,"07-2017",207,24511.72
cama_mesa_banho,"12-2017",552,50505.85
telefonia,"02-2018",359,14105.24
fashion_bolsas_e_acessorios,"05-2017",110,7498.67
relogios_presentes,"05-2017",135,37973.9
papelaria,"05-2017",66,6049.98
esporte_lazer,"12-2017",493,59792.66
moveis_sala,"06-2017",15,1713.3
brinquedos,"01-2017",43,4814.09
eletroportateis,"06-2018",52,16106.13
brinquedos,"05-2017",200,22626.95
automotivo,"01-2018",268,35995.02
moveis_decoracao,"07-2018",440,45715.49
cama_mesa_banho,"07-2017",579,63888.75
artigos_de_festas,"12-2017",2,515.2
bebes,"07-2017",129,15941.11
bebes,"03-2018",224,41985.74
alimentos_bebidas,"11-2017",33,2445.57
pet_shop,"07-2017",86,6605.87
cool_stuff,"08-2017",264,41720.03
informatica_acessorios,"11-2017",532,72656.0
bebes,"08-2017",133,20261.13
pet_shop,"11-2017",100,11370.68
