"state","city","revenue"
AC,brasileia,59.7
AC,cruzeiro do sul,957.79
AC,epitaciolandia,92.34
AC,manoel urbano,194.99
AC,porto acre,74.9
AC,rio branco,13904.32
AC,senador guiomard,409.98
AC,xapuri,288.93
AL,agua branca,63.8
AL,anadia,379.89
AL,arapiraca,8728.71
AL,atalaia,89.58
AL,barra de santo antonio,567.0
AL,barra de sao miguel,155.98
AL,batalha,214.79
AL,belem,568.99
AL,boca da mata,219.73
AL,cajueiro,99.9
AL,campo alegre,919.1
AL,canapi,230.0
AL,coite do noia,89.9
AL,colonia leopoldina,477.98
AL,coruripe,1222.3
AL,delmiro gouveia,1125.8
AL,dois riachos,104.99
AL,feliz deserto,309.89
AL,girau do ponciano,39.9
AL,ibateguara,75.9
AL,igaci,319.89
AL,igreja nova,208.0
AL,inhapi,979.9
AL,jequia da praia,251.91
AL,junqueiro,360.89
AL,lagoa da canoa,160.99
AL,luziapolis,129.99
AL,maceio,44652.49
AL,mar vermelho,519.98
AL,maragogi,1897.05
AL,maravilha,214.8
AL,marechal deodoro,349.9
AL,maribondo,49.9
AL,mata grande,378.65
AL,matriz de camaragibe,64.0
AL,monteiropolis,159.9
AL,murici,49.9
AL,novo lino,79.9
AL,olho d'agua das flores,254.48
AL,palmeira dos indios,1094.41
AL,paripueira,349.9
AL,passo de camaragibe,41.98
AL,pau d'arco,92.9
AL,paulo jacinto,368.89
AL,penedo,1239.87
AL,piacabucu,228.9
AL,pilar,99.7
AL,pindoba,432.0
AL,porto calvo,323.39
AL,porto de pedras,179.9
AL,rio largo,562.71
AL,santa luzia do norte,23.8
AL,santana do ipanema,249.9
AL,santana do mundau,1052.8
AL,sao bras,29.9
AL,sao jose da laje,219.9
AL,sao jose da tapera,109.9
AL,sao luis do quitunde,239.3
AL,sao miguel dos campos,813.36
AL,sao sebastiao,2159.98
AL,satuba,333.73
AL,tanque d'arca,578.0
AL,taquarana,146.99
AL,teotonio vilela,2168.68
AL,traipu,42.99
AL,uniao dos palmares,259.99
AL,vicosa,21.9
AM,coari,1190.65
AM,humaita,285.85
AM,itacoatiara,57.98
AM,manaus,20652.56
AM,urucurituba,169.8
AP,laranjal do jari,318.8
AP,macapa,11451.92
AP,oiapoque,385.0
AP,porto grande,29.99
AP,santana,1202.64
AP,vitoria do jari,85.95
BA,abaira,157.99
BA,abare,185.19
BA,abrantes,678.0
BA,acajutiba,28.89
BA,adustina,74.8
BA,alagoinhas,6249.23
BA,alcobaca,1289.78
BA,amargosa,54.99
BA,amelia rodrigues,372.39
BA,america dourada,169.9
BA,anage,63.8
BA,andarai,79.9
BA,andorinha,691.1
BA,angical,269.9
BA,anguera,99.0
BA,antonio cardoso,369.89
BA,antonio goncalves,34.9
BA,apora,44.9
BA,aracatu,75.99
BA,araci,277.87
BA,aramari,167.4
BA,arataca,795.0
BA,arembepe,429.7
BA,aribice,42.0
BA,arraial d ajuda,72.62
BA,arraial d'ajuda,779.42
BA,baianopolis,416.3
BA,baixa grande,44.0
BA,banzae,99.99
BA,barra,143.9
BA,barra da estiva,860.57
BA,barra do choca,799.0
BA,barra do mendes,323.99
BA,barra do tarrachil,272.9
BA,barreiras,11162.63
BA,barro alto,91.99
BA,barro preto,118.8
BA,barrocas,99.99
BA,belmonte,37.99
BA,belo campo,174.47
BA,biritinga,120.0
BA,bom jesus da lapa,2829.63
BA,bom jesus da serra,279.89
BA,boninal,717.7
BA,bonito,378.8
BA,boquira,69.9
BA,botupora,325.0
BA,brejoes,124.9
BA,brejolandia,13.98
BA,brotas de macaubas,168.0
BA,brumado,2748.75
BA,buerarema,1420.8
BA,buritirama,251.9
BA,cabaceiras do paraguacu,31.9
BA,cachoeira,479.79
BA,cacule,529.78
BA,caem,57.9
BA,caetite,1892.3
BA,cairu,58.99
BA,caldas do jorro,370.0
BA,caldeirao grande,354.8
BA,camacan,1134.67
BA,camacari,7294.22
BA,camamu,1506.82
BA,campo alegre de lourdes,99.99
BA,campo formoso,3419.13
BA,canapolis,13.65
BA,canarana,107.9
BA,canavieiras,799.8
BA,candeal,144.99
BA,candeias,1214.17
BA,candido sales,396.79
BA,cansancao,766.96
BA,canudos,174.9
BA,capela do alto alegre,39.99
BA,capim grosso,547.89
BA,caraibas,235.9
BA,caravelas,356.4
BA,carinhanha,348.9
BA,carnaiba do sertao,54.98
BA,casa nova,1126.19
BA,castro alves,58.9
BA,catu,1486.97
BA,catu de abrantes,1135.99
BA,caturama,84.99
BA,central,119.5
BA,chorrocho,49.9
BA,cicero dantas,3010.05
BA,cipo,179.0
BA,coaraci,1201.88
BA,cocos,49.99
BA,conceicao da feira,603.99
