"dates","seller_tier","count_sellers","sum_orders","sum_sales"
"2017-01",small_seller,179,467,46378.02
"2017-01",medium_seller,39,233,52034.26
"2017-01",big seller,9,93,21920.49
"2017-02",small_seller,341,1032,99084.58
"2017-02",medium_seller,74,507,108594.23
"2017-02",big seller,12,207,39624.21
"2017-03",small_seller,405,1391,146896.25
"2017-03",medium_seller,80,813,153910.34
"2017-03",big seller,14,442,73622.61
"2017-04",small_seller,398,1192,133660.68
"2017-04",medium_seller,93,794,161181.63
"2017-04",big seller,15,423,65134.82
"2017-05",small_seller,464,1884,187792.15
"2017-05",medium_seller,102,1178,215139.86
"2017-05",big seller,17,630,103693.01
"2017-06",small_seller,428,1618,144249.86
"2017-06",medium_seller,94,986,180314.51
"2017-06",big seller,17,638,108474.23
"2017-07",small_seller,478,1821,167396.85
"2017-07",medium_seller,109,1261,191192.0
"2017-07",big seller,19,955,139866.42
"2017-08",small_seller,574,2140,202982.96
"2017-08",medium_seller,114,1243,208926.88
"2017-08",big seller,20,970,162564.14
"2017-09",small_seller,590,2024,201871.92
"2017-09",medium_seller,120,1172,201601.68
"2017-09",big seller,21,1093,221037.99
"2017-10",small_seller,613,2235,222972.06
"2017-10",medium_seller,142,1285,223575.27
"2017-10",big seller,21,1117,217778.09
"2017-11",small_seller,790,3403,343794.53
"2017-11",medium_seller,151,2299,373505.82
"2017-11",big seller,24,1846,293372.92
"2017-12",small_seller,686,2572,255909.92
"2017-12",medium_seller,153,1776,280551.6
"2017-12",big seller,22,1338,207898.64
"2018-01",small_seller,781,3124,330429.37
"2018-01",medium_seller,165,2611,392754.64
"2018-01",big seller,24,1598,228275.34
"2018-02",small_seller,759,2989,296870.06
"2018-02",medium_seller,160,2519,358054.02
"2018-02",big seller,28,1238,189666.3
"2018-03",small_seller,790,3164,315660.48
"2018-03",medium_seller,176,2558,375887.86
"2018-03",big seller,30,1559,291914.12
"2018-04",small_seller,902,3233,340698.62
"2018-04",medium_seller,188,2309,373216.48
"2018-04",big seller,33,1527,282919.55
"2018-05",small_seller,892,3104,319828.62
"2018-05",medium_seller,193,2221,386790.05
"2018-05",big seller,30,1642,290147.9
"2018-06",small_seller,941,2864,297850.6
"2018-06",medium_seller,201,2234,355054.47
"2018-06",big seller,33,1176,213176.76
"2018-07",small_seller,1030,3016,313284.44
"2018-07",medium_seller,196,2121,343881.98
"2018-07",big seller,35,1237,238812.3
"2018-08",small_seller,1050,3387,323345.63
"2018-08",medium_seller,197,2072,340308.85
"2018-08",big seller,31,1112,191380.65
