"year__month","seller_category","seller_count","order_count"
"2017-01",new,100,5026
"2017-01",ongoing,127,21834
"2017-02",new,178,5452
"2017-02",ongoing,249,37564
"2017-03",new,182,4667
"2017-03",ongoing,317,45818
"2017-04",new,207,6839
"2017-04",ongoing,299,48827
"2017-05",new,196,4478
"2017-05",ongoing,387,57780
"2017-06",new,191,4900
"2017-06",ongoing,348,57005
"2017-07",new,188,4955
"2017-07",ongoing,418,65552
"2017-08",new,244,6081
"2017-08",ongoing,464,69195
"2017-09",new,249,5347
"2017-09",ongoing,482,71928
"2017-10",new,260,6734
"2017-10",ongoing,516,75925
"2017-11",new,302,5292
"2017-11",ongoing,663,82394
"2017-12",new,284,6522
"2017-12",ongoing,577,79461
"2018-01",new,289,5467
"2018-01",ongoing,681,84364
"2018-02",new,296,6667
"2018-02",ongoing,651,84839
"2018-03",new,278,5001
"2018-03",ongoing,718,87666
"2018-04",new,343,5646
"2018-04",ongoing,780,87883
"2018-05",new,363,6754
"2018-05",ongoing,752,84105
"2018-06",new,434,9696
"2018-06",ongoing,741,81510
"2018-07",new,450,9241
"2018-07",ongoing,811,79464
"2018-08",new,461,8916
"2018-08",ongoing,817,77218
