"dates","seller_category","count_sellers"
"2017-01",new,227
"2017-02",churn,19
"2017-02",new,255
"2017-02",ongoing,208
"2017-03",churn,59
"2017-03",new,176
"2017-03",ongoing,404
"2017-04",churn,56
"2017-04",new,121
"2017-04",ongoing,524
"2017-05",churn,32
"2017-05",new,126
"2017-05",ongoing,613
"2017-06",churn,70
"2017-06",new,76
"2017-06",ongoing,669
"2017-07",churn,40
"2017-07",new,117
"2017-07",ongoing,705
"2017-08",churn,42
"2017-08",new,129
"2017-08",ongoing,780
"2017-09",churn,68
"2017-09",new,128
"2017-09",ongoing,841
"2017-10",churn,63
"2017-10",new,148
"2017-10",ongoing,906
"2017-11",churn,57
"2017-11",new,191
"2017-11",ongoing,997
"2017-12",churn,104
"2017-12",new,90
"2017-12",ongoing,1084
"2018-01",churn,75
"2018-01",new,141
"2018-01",ongoing,1099
"2018-02",churn,86
"2018-02",new,120
"2018-02",ongoing,1154
"2018-03",churn,94
"2018-03",new,113
"2018-03",ongoing,1180
"2018-04",churn,89
"2018-04",new,202
"2018-04",ongoing,1204
"2018-05",churn,136
"2018-05",new,172
"2018-05",ongoing,1270
"2018-06",churn,156
"2018-06",new,191
"2018-06",ongoing,1286
"2018-07",churn,194
"2018-07",new,190
"2018-07",ongoing,1283
"2018-08",churn,350
"2018-08",new,155
"2018-08",ongoing,1123
